Zeit;TE1;TM11;TM12;UBE1;TE2;TM21;TM22;UBE2;UCE;IC
0.575599;2555;2555;2555;429;2498;2500;2520;431;2877;0
1.101158;2555;2555;2545;429;2498;2500;2510;431;2883;0
1.61917;2525;2555;2545;428;2505;2500;2510;431;2880;0
2.120285;2545;2555;2545;429;2488;2500;2510;431;2877;0
2.619339;2545;2555;2545;429;2505;2500;2510;431;2880;0
3.118887;2555;2555;2535;428;2515;2500;2500;431;2877;0
3.619265;2535;2555;2545;429;2498;2500;2510;431;2877;0
4.119389;2545;2555;2545;429;2505;2500;2510;431;2877;0
4.619499;2555;2545;2545;429;2515;2500;2510;431;2877;0
5.119242;2525;2555;2545;429;2505;2500;2510;431;2880;0
5.619596;2555;2545;2545;429;2515;2500;2510;431;2880;0
6.120004;2525;2545;2545;429;2488;2500;2510;431;2883;0
6.619101;2525;2555;2545;429;2505;2500;2510;431;2877;0
7.119993;2525;2555;2545;429;2505;2500;2510;431;2880;0
7.619685;2535;2555;2545;429;2515;2500;2510;431;2880;0
8.119222;2535;2545;2545;429;2488;2500;2510;431;2880;0
8.618303;2525;2545;2535;429;2488;2500;2510;431;2880;0
9.118438;2555;2545;2535;429;2498;2500;2510;431;2877;0
9.618526;2525;2545;2545;430;2488;2500;2510;431;2877;0
10.119567;2535;2545;2535;429;2515;2500;2510;431;2880;0
10.619481;2545;2545;2535;429;2488;2500;2510;431;2880;0
11.119428;2555;2545;2545;429;2515;2500;2510;433;2880;0
11.618254;2555;2545;2545;429;2498;2510;2510;431;2883;0
12.118521;2555;2545;2545;430;2498;2500;2510;431;2880;0
12.618967;2555;2545;2545;430;2498;2510;2510;431;2877;0
13.118845;2545;2545;2535;429;2488;2510;2520;430;2883;0
13.619248;2545;2545;2545;429;2505;2510;2520;431;2880;0
14.11901;2525;2555;2535;429;2488;2500;2510;430;2880;0
14.618518;2555;2545;2545;429;2498;2510;2520;431;2880;0
15.118602;2545;2545;2545;429;2488;2510;2520;431;2877;0
15.619288;2555;2545;2545;429;2515;2510;2510;431;2883;0
16.119323;2535;2545;2535;429;2498;2510;2510;431;2880;0
16.61802;2555;2545;2545;428;2515;2510;2510;431;2877;0
17.118807;2555;2545;2555;430;2498;2510;2510;431;2877;0
17.618494;2555;2545;2545;430;2515;2510;2510;809;2068;1440
18.119057;2535;2545;2535;429;2498;2510;2510;805;2036;1440
18.619604;2525;2545;2535;429;2505;2510;2525;802;2017;1440
19.118519;2555;2545;2535;429;2515;2510;2510;800;2004;1440
19.61886;2535;2545;2535;429;2535;2510;2510;798;2001;1440
20.118282;2555;2545;2545;429;2535;2510;2510;796;1991;1440
20.618854;2555;2545;2535;429;2555;2510;2510;794;1982;1440
21.118625;2505;2520;2535;429;2565;2500;2510;794;1978;1440
21.619079;2525;2535;2535;429;2585;2500;2510;792;1972;1440
22.119429;2535;2545;2535;429;2632;2500;2520;791;1966;1440
22.618622;2535;2545;2535;430;2671;2510;2510;789;1962;1440
23.119376;2535;2545;2525;430;2671;2500;2520;788;1956;1440
23.618314;2535;2535;2535;430;2728;2500;2520;788;1956;1440
24.11892;2535;2545;2535;429;2748;2500;2520;787;1953;1440
24.618555;2535;2535;2535;430;2787;2510;2520;786;1946;1440
25.118064;2535;2535;2535;430;2807;2510;2525;785;1943;1440
25.618479;2535;2535;2525;430;2844;2510;2525;784;1943;1440
26.118248;2535;2535;2535;429;2864;2500;2535;783;1934;1440
26.619761;2535;2535;2535;429;2903;2510;2535;782;1918;1440
27.119317;2535;2535;2535;429;2921;2510;2535;782;1915;1440
27.618462;2515;2535;2535;430;2980;2520;2545;781;1911;1440
28.118598;2535;2535;2535;429;3017;2520;2555;780;1911;1440
28.619019;2525;2525;2535;429;3046;2525;2555;779;1908;1440
29.119184;2535;2535;2535;430;3096;2535;2565;780;1905;1440
29.618346;2535;2535;2525;429;3132;2555;2570;779;1905;1440
30.11898;2535;2535;2535;430;3132;2545;2570;779;1905;1440
30.61886;2535;2545;2545;429;3192;2555;2580;778;1899;1440
31.119017;2555;2545;2535;430;3228;2565;2590;777;1899;1440
31.619315;2535;2535;2535;430;3228;2570;2600;777;1899;1440
32.11881;2515;2535;2535;429;3287;2570;2605;777;1899;1440
32.618512;2535;2545;2535;430;3307;2580;2615;776;1892;1440
33.119122;2535;2545;2535;430;3344;2590;2625;776;1895;1440
33.618525;2535;2545;2535;429;3403;2600;2635;775;1892;1440
34.11881;2515;2535;2535;429;3423;2605;2645;774;1892;1440
34.618251;2535;2545;2525;430;3440;2605;2650;774;1889;1440
35.119282;2515;2535;2535;430;3440;2625;2650;774;1892;1440
35.619116;2535;2545;2535;430;3499;2625;2670;773;1889;1440
36.119233;2515;2535;2535;430;3535;2650;2690;773;1892;1440
36.6185;2535;2535;2525;430;3555;2645;2690;772;1889;1440
37.118645;2535;2555;2535;429;3594;2650;2705;773;1889;1440
37.618357;2535;2525;2525;430;3631;2660;2705;772;1886;1440
38.118813;2535;2535;2535;430;3651;2670;2725;771;1886;1440
38.61902;2535;2535;2535;430;3670;2680;2735;771;1883;1440
39.118761;2535;2535;2535;430;3690;2680;2745;770;1886;1440
39.619033;2545;2535;2535;429;3719;2690;2760;771;1879;1440
40.118847;2545;2535;2525;430;3736;2695;2760;771;1883;1440
40.618436;2505;2535;2525;430;3756;2705;2780;769;1879;1440
41.119062;2515;2535;2525;430;3825;2725;2790;770;1876;1440
41.618219;2535;2535;2525;430;3825;2735;2795;770;1876;1440
42.118052;2535;2535;2525;430;3861;2745;2815;769;1873;1440
42.619056;2535;2525;2525;429;3861;2750;2835;767;1876;1440
43.118533;2535;2535;2525;430;3900;2760;2835;769;1879;1440
43.618501;2535;2535;2545;429;3937;2770;2850;768;1873;1440
44.118953;2515;2535;2525;430;3957;2790;2860;768;1873;1440
44.618934;2515;2535;2535;430;3976;2795;2880;768;1873;1440
