Zeit;TE1;TM11;TM12;UBE1;TE2;TM21;TM22;UBE2;UCE;IC
0.575637;2824;2870;2825;420;4983;4760;4810;360;2877;0
1.099673;2854;2870;2815;420;4974;4735;4795;359;2883;0
1.626863;2824;2870;2825;421;4964;4735;4785;360;2880;0
2.151486;2854;2870;2825;421;4954;4735;4770;360;2880;0
2.676375;2854;2860;2825;421;4937;4720;4795;361;2877;0
3.201176;2834;2850;2825;420;4937;4710;4760;360;2877;0
3.713491;2854;2860;2815;421;4918;4710;4760;361;2880;0
4.211456;2854;2850;2825;421;4918;4695;4760;361;2877;0
4.71366;2834;2860;2815;421;4898;4695;4745;362;2883;0
5.213147;2834;2860;2825;421;4879;4695;4735;362;2883;0
5.713415;2854;2860;2815;421;4860;4685;4735;363;2877;0
6.213046;2834;2860;2815;421;4860;4685;4720;362;2883;0
6.713423;2834;2860;2815;421;4860;4670;4735;362;2880;0
7.213539;2834;2860;2815;421;4840;4670;4710;363;2880;0
7.713399;2834;2845;2815;421;4840;4670;4695;363;2877;0
8.212356;2814;2850;2815;421;4823;4660;4695;363;2883;0
8.713182;2834;2860;2815;421;4823;4660;4670;363;2877;0
9.213113;2814;2850;2815;421;4804;4650;4670;364;2880;0
9.713373;2854;2860;2805;421;4804;4650;4660;364;2880;0
10.213227;2834;2850;2815;421;4784;4650;4660;364;2880;0
10.713228;2834;2850;2815;421;4784;4650;4650;365;2877;0
11.21392;2805;2850;2815;421;4755;4635;4635;365;2880;0
11.713074;2834;2835;2815;421;4765;4635;4635;365;2880;0
12.213746;2834;2850;2805;421;4746;4625;4625;365;2877;0
12.713932;2834;2850;2805;421;4729;4610;4610;366;2877;0
13.213831;2854;2850;2805;421;4729;4610;4600;366;2883;0
13.712856;2834;2845;2805;421;4729;4600;4600;367;2880;0
14.2115;2819;2845;2805;421;4714;4600;4590;366;2877;0
14.713366;2844;2845;2805;421;4719;4590;4590;367;2877;0
15.211725;2854;2845;2805;421;4690;4575;4575;367;2880;0
15.713437;2814;2845;2805;421;4690;4565;4565;367;2877;0
16.212213;2814;2845;2805;421;4690;4565;4550;367;2883;0
16.713035;2854;2845;2805;801;4690;4575;4565;362;1905;1440
17.21244;2854;2845;2795;798;4670;4575;4575;363;1892;1440
17.713586;2911;2835;2795;796;4651;4565;4550;363;1883;1440
18.213165;2970;2835;2795;794;4634;4565;4550;364;1879;1440
18.712806;3027;2835;2795;792;4651;4550;4550;363;1873;1440
19.213518;3086;2835;2795;791;4634;4540;4530;363;1873;1440
19.713133;3142;2835;2795;789;4614;4540;4530;364;1873;1440
20.212452;3192;2835;2795;788;4605;4530;4530;363;1867;1440
20.712377;3258;2835;2805;787;4595;4515;4515;365;1863;1440
21.212306;3297;2845;2805;786;4576;4515;4515;365;1860;1440
21.713444;3354;2845;2815;785;4576;4505;4505;365;1854;1440
22.213203;3393;2845;2805;784;4576;4505;4490;365;1851;1440
22.713086;3469;2845;2805;783;4595;4505;4490;366;1854;1440
23.21392;3526;2845;2805;782;4556;4490;4480;366;1841;1440
23.713521;3545;2850;2805;781;4556;4490;4470;366;1838;1440
24.214097;3621;2850;2815;781;4537;4480;4470;366;1835;1440
24.713067;3660;2860;2815;780;4537;4480;4455;366;1841;1440
25.21389;3719;2860;2825;779;4520;4470;4455;366;1838;1440
25.713161;3756;2870;2825;778;4520;4470;4445;366;1831;1440
26.21366;3815;2880;2825;778;4520;4455;4445;367;1835;1440
26.711234;3851;2880;2835;776;4520;4455;4445;367;1828;1440
27.212938;3871;2890;2835;777;4500;4445;4420;367;1825;1440
27.713454;3910;2900;2845;776;4500;4445;4420;367;1831;1440
28.213225;3976;2900;2850;775;4471;4435;4420;368;1822;1440
28.713191;4005;2905;2850;775;4481;4435;4410;368;1825;1440
29.213452;4062;2915;2860;774;4461;4410;4400;368;1822;1440
29.714055;4101;2925;2860;774;4461;4410;4400;368;1819;1440
30.212962;4110;2935;2870;772;4471;4400;4385;368;1819;1440
30.712322;4157;2945;2870;772;4442;4400;4375;369;1819;1440
31.212488;4196;2955;2880;772;4442;4385;4365;368;1815;1440
31.713189;4232;2970;2870;772;4425;4385;4365;369;1815;1440
32.213555;4271;2970;2900;771;4425;4375;4355;369;1815;1440
32.712932;4310;2980;2900;770;4405;4375;4355;370;1815;1440
33.213276;4330;2990;2905;770;4405;4365;4340;371;1812;1440
33.713689;4366;3000;2915;769;4405;4355;4340;370;1812;1440
34.213765;4405;3010;2925;769;4405;4355;4340;370;1812;1440
34.713281;4410;3025;2935;769;4391;4340;4320;370;1809;1440
35.213382;4461;3035;2945;769;4386;4320;4320;370;1812;1440
35.712886;4500;3045;2955;768;4386;4305;4305;370;1812;1440
36.213335;4520;3055;2960;768;4366;4295;4320;371;1809;1440
36.713015;4556;3075;2955;767;4347;4295;4305;371;1812;1440
37.213419;4566;3085;2980;767;4357;4285;4295;371;1806;1440
37.712252;4614;3090;2980;767;4366;4285;4285;371;1806;1440
38.212857;4651;3110;3000;766;4347;4285;4285;372;1803;1440
38.712374;4670;3120;3010;766;4330;4260;4285;372;1803;1440
39.21164;4665;3130;3020;765;4305;4260;4275;372;1803;1440
39.712823;4729;3150;3035;765;4330;4250;4275;372;1806;1440
40.213361;4746;3160;3035;765;4310;4250;4260;373;1803;1440
40.712687;4784;3170;3055;764;4310;4240;4260;372;1799;1440
41.213336;4784;3185;3065;764;4310;4240;4250;372;1799;1440
41.713198;4804;3195;3075;764;4310;4240;4240;373;1799;1440
42.213315;4840;3215;3085;763;4291;4240;4240;373;1803;1440
42.712646;4840;3225;3085;763;4291;4230;4240;373;1799;1440
43.21281;4869;3235;3100;763;4281;4230;4230;373;1799;1440
43.711709;4889;3255;3110;763;4262;4215;4230;374;1796;1440
44.212271;4937;3270;3110;762;4271;4215;4205;374;1799;1440
44.713387;4937;3280;3130;762;4271;4205;4215;374;1796;1440
45.213234;4974;3300;3140;762;4252;4205;4205;375;1796;1440
45.713482;5003;3310;3150;761;4223;4195;4195;375;1796;1440
46.212367;5003;3320;3160;761;4242;4195;4185;375;1796;1440
46.712156;5022;3330;3175;760;4223;4195;4185;374;1793;1440
47.212917;5039;3350;3185;760;4242;4175;4185;375;1796;1440
47.713914;5068;3360;3195;760;4215;4175;4150;375;1787;1440
48.213823;5087;3370;3205;758;4215;4160;4160;376;1796;1440
48.712984;5097;3390;3215;760;4186;4160;4160;376;1790;1440
49.212964;5117;3400;3225;759;4205;4160;4150;376;1790;1440
49.71403;5133;3415;3245;759;4186;4150;4140;376;1787;1440
50.213176;5163;3425;3255;758;4196;4140;4130;376;1787;1440
50.713747;5201;3435;3265;759;4196;4130;4130;377;1787;1440
51.213169;5192;3445;3280;758;4166;4130;4120;376;1790;1440
51.713259;5211;3465;3290;757;4166;4120;4120;377;1790;1440
52.213316;5257;3475;3300;757;4157;4120;4120;377;1790;1440
52.712459;5257;3485;3310;757;4176;4105;4095;377;1783;1440
53.213443;5267;3505;3320;757;4147;4095;4085;377;1790;1440
53.712062;5286;3515;3330;757;4147;4085;4105;377;1783;1440
54.213646;5305;3535;3330;757;4147;4085;4075;378;1787;1440
54.713065;5305;3545;3340;756;4110;4075;4075;378;1787;1440
55.213097;5325;3565;3360;756;4127;4065;4065;378;1783;1440
55.713875;5342;3575;3370;756;4110;4065;4065;378;1783;1440
56.213038;5361;3585;3370;755;4110;4065;4055;378;1777;1440
56.713443;5380;3595;3380;755;4091;4065;4055;379;1780;1440
57.213487;5400;3615;3400;755;4091;4055;4055;379;1783;1440
57.713464;5419;3635;3400;755;4071;4040;4040;379;1777;1440
58.213261;5436;3645;3405;754;4071;4030;4030;379;1780;1440
58.712847;5455;3665;3415;754;4091;4030;4030;379;1780;1440
59.212134;5455;3665;3435;754;4071;4020;4020;379;1777;1440
59.713529;5474;3685;3455;753;4071;4020;4010;379;1774;1440
60.213549;5494;3695;3445;753;4052;4010;4020;379;1777;1440
60.713962;5513;3695;3465;753;4052;4010;4010;380;1777;1440
