Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
0.575599;3;0;4294967256;1024;1012;1012;857;1024;1020;861;1800
1.101158;3;0;4294967255;1024;1012;1013;858;1023;1021;861;1803
1.61917;2;1;4294967255;1025;1012;1014;855;1023;1021;861;1802
2.120285;3;0;4294967254;1025;1012;1014;857;1023;1021;861;1799
2.619339;3;1;4294967255;1025;1012;1014;858;1023;1022;862;1801
3.118887;3;1;4294967255;1024;1012;1015;856;1023;1023;861;1800
3.619265;2;0;4294967256;1024;1012;1013;858;1024;1021;861;1800
4.119389;3;1;4294967256;1025;1011;1014;858;1024;1021;861;1800
4.619499;3;1;4294967257;1024;1013;1014;858;1024;1022;861;1800
5.119242;2;1;4294967256;1025;1012;1013;858;1023;1021;861;1802
5.619596;3;1;4294967255;1024;1014;1014;858;1024;1021;861;1802
6.120004;2;0;4294967257;1025;1013;1014;857;1023;1022;861;1803
6.619101;2;1;4294967255;1025;1012;1014;857;1023;1022;861;1800
7.119993;2;1;4294967253;1025;1012;1014;858;1024;1022;862;1802
7.619685;2;1;4294967256;1024;1012;1014;857;1024;1021;862;1801
8.119222;2;429496729;4294967255;1024;1013;1014;858;1024;1021;861;1802
8.618303;2;0;4294967254;1025;1013;1015;858;1023;1022;861;1801
9.118438;3;0;4294967258;1024;1013;1015;857;1024;1022;862;1800
9.618526;2;0;4294967257;1025;1013;1014;859;1024;1022;861;1800
10.119567;2;1;4294967252;1023;1014;1016;857;1024;1022;861;1801
10.619481;3;0;4294967256;1025;1013;1015;858;1023;1021;861;1801
11.119428;3;1;4294967258;1024;1013;1014;858;1024;1021;865;1802
11.618254;3;0;4294967259;1024;1014;1014;858;1022;1021;861;1804
12.118521;3;0;4294967254;1024;1013;1013;859;1023;1022;862;1801
12.618967;3;0;4294967257;1024;1013;1014;859;1022;1021;861;1800
13.118845;3;0;4294967253;1025;1013;1015;858;1022;1020;860;1803
13.619248;3;1;4294967258;1025;1014;1014;858;1022;1020;861;1802
14.11901;2;0;4294967260;1025;1012;1015;857;1023;1021;860;1802
14.618518;3;0;4294967253;1024;1013;1014;857;1022;1020;861;1802
15.118602;3;0;4294967252;1025;1014;1013;858;1021;1020;861;1800
15.619288;3;1;4294967258;1023;1013;1014;858;1021;1021;861;1803
16.119323;2;0;4294967256;1024;1013;1015;857;1022;1021;861;1801
16.61802;3;1;4294967257;1024;1013;1014;855;1022;1021;861;1799
17.118807;3;0;4294967255;1023;1013;1012;859;1021;1021;861;1799
17.618494;3;1;4696;1024;1013;1013;859;1021;1021;1618;1294
18.119057;2;0;4699;1023;1014;1015;858;1022;1021;1610;1274
18.619604;2;1;4703;1025;1013;1015;858;1021;1018;1603;1262
19.118519;3;1;4695;1024;1013;1015;858;1022;1022;1599;1253
19.61886;2;2;4700;1024;1013;1015;858;1022;1022;1596;1251
20.118282;3;2;4700;1024;1014;1014;858;1022;1022;1592;1245
20.618854;3;3;4699;1024;1014;1015;858;1022;1021;1588;1239
21.118625;1;4;4700;1025;1019;1015;858;1023;1021;1587;1238
21.619079;2;5;4702;1025;1015;1015;858;1023;1021;1583;1234
22.119429;2;7;4694;1023;1014;1016;858;1023;1020;1581;1229
22.618622;2;9;4699;1023;1014;1015;859;1022;1021;1577;1228
23.119376;2;9;4700;1024;1014;1018;859;1024;1019;1576;1224
23.618314;2;12;4697;1024;1015;1016;859;1023;1020;1575;1223
24.11892;2;13;4702;1024;1014;1016;858;1023;1019;1573;1221
24.618555;2;15;4698;1024;1015;1016;859;1022;1020;1571;1217
25.118064;2;16;4704;1024;1015;1016;859;1022;1017;1569;1216
25.618479;2;18;4703;1024;1015;1017;859;1022;1017;1567;1215
26.118248;2;19;4702;1024;1015;1016;858;1024;1016;1566;1209
26.619761;2;21;4700;1023;1015;1016;858;1021;1016;1564;1199
27.119317;2;22;4698;1023;1015;1016;858;1021;1016;1563;1198
27.618462;1;25;4702;1023;1016;1016;859;1019;1014;1562;1196
28.118598;2;27;4699;1024;1015;1016;858;1019;1012;1560;1195
28.619019;2;29;4698;1025;1018;1016;858;1017;1011;1558;1193
29.119184;2;31;4701;1023;1015;1016;859;1016;1009;1559;1191
29.618346;2;33;4700;1023;1016;1017;858;1012;1008;1558;1192
30.11898;2;33;4697;1024;1016;1016;859;1013;1007;1557;1192
30.61886;2;36;4700;1023;1014;1014;858;1012;1005;1555;1187
31.119017;3;38;4698;1024;1014;1016;860;1010;1003;1554;1188
31.619315;2;38;4698;1024;1015;1016;859;1008;1001;1553;1187
32.11881;1;41;4697;1024;1015;1016;858;1007;999;1553;1187
32.618512;2;42;4697;1023;1014;1016;859;1006;997;1551;1184
33.119122;2;44;4705;1024;1014;1016;859;1004;995;1551;1185
33.618525;2;47;4703;1024;1014;1016;858;1001;993;1550;1183
34.11881;1;48;4698;1024;1015;1016;858;1000;992;1548;1184
34.618251;2;49;4706;1024;1014;1017;859;999;989;1548;1182
35.119282;2;50;4701;1028;1015;1015;859;996;990;1548;1184
35.619116;2;52;4694;1023;1014;1016;859;995;985;1546;1182
36.119233;1;54;4698;1023;1015;1016;859;990;982;1546;1183
36.6185;2;55;4699;1024;1015;1017;859;991;981;1544;1182
37.118645;2;57;4697;1024;1011;1016;858;990;978;1545;1181
37.618357;2;59;4702;1023;1017;1017;859;988;977;1543;1179
38.118813;2;60;4699;1024;1015;1016;859;986;974;1542;1179
38.61902;2;61;4698;1023;1016;1016;859;984;972;1542;1177
39.118761;2;62;4698;1023;1016;1016;859;983;969;1539;1179
39.619033;2;63;4697;1022;1015;1016;858;981;966;1541;1176
40.118847;3;65;4696;1025;1015;1017;859;979;965;1541;1177
40.618436;1;66;4698;1025;1016;1017;859;977;962;1538;1175
41.119062;1;69;4697;1023;1015;1017;859;974;959;1539;1174
41.618219;2;69;4699;1024;1016;1017;859;972;957;1539;1173
42.118052;2;71;4696;1024;1016;1017;859;969;953;1538;1172
42.619056;2;71;4698;1024;1017;1017;858;968;950;1534;1174
43.118533;2;73;4693;1023;1016;1017;859;965;950;1537;1175
43.618501;2;75;4698;1024;1015;1014;858;964;945;1536;1172
44.118953;1;76;4697;1024;1016;1017;859;960;943;1535;1171
44.618934;1;77;4700;1023;1015;1016;859;958;940;1535;1172
45.118198;2;77;4698;1025;1016;1017;859;957;938;1534;1171
45.618852;2;79;4696;1024;1015;1017;859;955;937;1534;1169
46.11908;2;80;4697;1023;1016;1017;858;952;932;1534;1168
46.61853;2;82;4700;1024;1015;1017;859;949;929;1533;1169
47.118812;2;82;4693;1024;1016;1017;858;947;926;1533;1168
47.617963;1;83;4698;1024;1016;1017;859;945;924;1532;1171
48.118632;2;85;4694;1024;1016;1017;859;943;926;1531;1170
48.618618;1;86;4700;1024;1016;1018;859;940;918;1530;1170
49.118893;1;87;4699;1024;1013;1017;860;937;917;1530;1169
49.619241;2;88;4699;1024;1016;1018;859;934;913;1529;1167
50.118959;1;88;4699;1024;1016;1015;859;932;911;1529;1166
50.618336;1;90;4698;1024;1015;1017;860;928;908;1528;1169
51.118559;2;91;4700;1025;1015;1016;859;926;905;1528;1166
51.618304;2;92;4699;1024;1015;1017;860;924;901;1528;1164
52.119483;2;92;4694;1024;1016;1017;859;920;899;1524;1168
52.618653;1;94;4698;1024;1016;1016;859;918;897;1526;1164
53.117274;1;95;4696;1024;1017;1017;859;916;893;1527;1163
53.618965;2;96;4703;1025;1016;1017;859;913;891;1526;1163
54.117355;3;97;4699;1023;1016;1017;859;909;888;1525;1166
54.618389;2;98;4697;1024;1015;1017;860;907;886;1524;1164
55.119131;1;98;4704;1024;1016;1017;858;905;883;1524;1164
55.618481;2;99;4698;1024;1016;1017;858;903;880;1524;1164
56.118001;2;99;4700;1024;1015;1017;859;899;877;1524;1162
56.619051;3;101;4700;1024;1020;1018;859;896;874;1522;1163
57.118675;2;102;4698;1024;1015;1017;860;893;871;1522;1163
57.619107;2;103;4701;1025;1015;1018;859;890;869;1522;1161
58.11816;2;103;4697;1024;1015;1017;860;886;867;1522;1161
58.618876;1;104;4697;1024;1015;1017;860;883;864;1520;1162
59.118865;2;105;4698;1025;1016;1017;859;879;861;1522;1160
59.618759;2;106;4699;1025;1016;1017;860;876;856;1521;1160
60.118926;1;107;4702;1024;1015;1017;859;873;857;1519;1159
60.619418;2;108;4694;1024;1015;1018;859;875;853;1520;1161
61.118497;2;108;4699;1024;1014;1018;859;868;851;1518;1160
61.619001;1;110;4698;1024;1016;1017;859;865;848;1519;1157
62.119873;2;110;4696;1024;1014;1018;859;862;846;1518;1161
62.618544;2;111;4696;1023;1014;1018;859;860;842;1518;1158
63.118354;2;111;4699;1024;1013;1018;858;856;840;1517;1156
63.619279;2;112;4699;1025;1016;1018;860;854;839;1516;1156
64.118174;1;113;4696;1025;1016;1019;859;851;835;1517;1156
64.618451;2;114;4697;1024;1016;1017;859;849;833;1516;1158
65.118679;2;114;4697;1025;1015;1017;859;848;835;1516;1155
65.618844;1;115;4697;1023;1016;1017;860;850;833;1515;1159
66.118733;2;115;4699;1025;1014;1017;859;847;830;1515;1154
66.618975;2;116;4698;1023;1015;1017;859;847;828;1515;1155
67.118807;2;117;4698;1023;1013;1018;859;845;827;1515;1154
67.618363;1;117;4702;1025;1016;1017;859;843;824;1514;1154
68.1185;2;118;4696;1025;1016;1018;859;841;821;1514;1153
68.618843;2;119;4700;1024;1015;1017;859;838;818;1512;1156
69.118854;1;120;4696;1025;1015;1018;859;836;816;1513;1155
69.618554;1;120;4696;1025;1016;1018;860;832;815;1512;1156
70.118435;2;120;4696;1025;1016;1018;860;829;811;1512;1155
70.618312;2;122;4697;1024;1016;1017;859;827;809;1511;1155
71.11859;2;122;4695;1025;1016;1018;859;825;807;1511;1155
71.619049;1;122;4697;1024;1016;1017;860;822;804;1510;1154
72.119358;1;123;4697;1024;1014;1017;859;821;802;1510;1158
72.618737;1;124;4696;1024;1015;1018;859;817;799;1510;1151
73.118502;2;125;4697;1025;1015;1018;859;815;797;1510;1150
73.618608;1;125;4696;1023;1015;1018;859;812;796;1508;1151
74.118634;1;126;4695;1022;1015;1018;859;810;795;1508;1151
74.619392;1;126;4695;1024;1017;1018;859;807;792;1508;1151
75.118533;1;127;4695;1024;1014;1018;859;805;789;1508;1147
75.619144;1;128;4698;1024;1016;1018;859;801;787;1507;1147
76.11845;2;129;4694;1025;1015;1017;859;798;784;1508;1146
76.618338;2;129;4699;1024;1014;1017;860;796;782;1506;1150
77.119414;2;130;4699;1024;1015;1018;859;794;779;1506;1144
77.618981;1;130;4698;1023;1015;1018;858;791;777;1506;1148
78.119137;1;131;4696;1024;1016;1017;859;788;775;1505;1145
78.61884;1;131;4696;1024;1017;1017;860;785;771;1505;1147
79.118408;2;132;4696;1023;1015;1017;859;783;770;1505;1144
79.618131;1;133;4694;1024;1015;1018;860;781;768;1504;1143
80.118662;2;133;4698;1023;1015;1018;860;778;767;1505;1146
80.618641;1;134;4696;1024;1015;1017;859;775;765;1507;1143
81.118469;2;134;4697;1023;1015;1017;857;773;762;1504;1142
81.61846;1;135;4693;1023;1016;1017;859;772;759;1503;1142
82.118175;1;135;4698;1024;1012;1018;859;769;758;1503;1142
82.618551;2;136;4700;1024;1017;1018;859;766;755;1503;1141
83.118619;2;137;4693;1024;1016;1017;860;764;751;1503;1142
83.618644;1;137;4696;1024;1015;1017;859;762;751;1502;1141
84.118259;1;137;4696;1024;1014;1017;859;760;748;1502;1140
84.618951;2;138;4695;1024;1016;1017;862;759;747;1503;1141
85.119021;2;139;4694;1024;1015;1018;859;757;744;1502;1141
85.619;2;139;4696;1024;1016;1017;859;756;742;1501;1141
86.118547;2;140;4694;1024;1019;1018;859;756;740;1500;1146
86.618833;1;140;4697;1025;1016;1018;859;753;738;1500;1142
87.118112;1;141;4697;1025;1015;1018;859;755;737;1500;1140
87.619203;1;141;4696;1025;1016;1014;859;754;735;1499;1142
88.118853;1;142;4704;1025;1016;1018;859;752;734;1498;1142
88.619498;1;142;4697;1024;1016;1017;859;752;731;1499;1139
89.118568;1;143;4699;1024;1016;1017;859;750;729;1499;1139
89.618006;1;143;4695;1024;1016;1018;859;749;728;1499;1139
