Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
0.575637;18;131;4294967256;1027;942;952;840;580;572;720;1800
1.099673;19;130;4294967255;1026;942;953;840;583;573;718;1803
1.626863;18;130;4294967257;1027;942;952;841;584;575;719;1801
2.151486;19;129;4294967255;1026;942;952;841;584;577;719;1802
2.676375;19;128;4294967257;1026;943;952;841;586;574;721;1799
3.201176;18;128;4294967255;1026;945;952;840;587;579;719;1800
3.713491;19;127;4294967256;1026;944;953;841;587;580;721;1802
4.211456;19;127;4294967254;1026;945;952;841;589;580;722;1799
4.71366;18;126;4294967249;1026;943;953;841;589;582;723;1803
5.213147;18;125;4294967256;1026;944;952;841;590;583;723;1803
5.713415;19;124;4294967257;1026;944;953;841;591;584;725;1800
6.213046;18;124;4294967257;1026;944;954;841;592;586;724;1803
6.713423;18;124;4294967255;1026;944;954;841;593;584;724;1802
7.213539;18;123;4294967259;1026;944;953;842;593;588;725;1802
7.713399;18;123;4294967257;1025;947;954;841;594;589;725;1800
8.212356;17;122;4294967250;1026;945;954;842;595;590;726;1803
8.713182;18;122;4294967261;1026;944;954;841;596;593;726;1799
9.213113;17;121;4294967255;1026;945;954;841;598;593;727;1801
9.713373;19;121;4294967254;1026;944;955;841;597;595;728;1801
10.213227;18;120;4294967257;1026;945;954;841;598;596;728;1801
10.713228;18;120;4294967256;1025;945;954;842;598;597;730;1800
11.21392;17;119;4294967254;1027;946;954;841;600;600;729;1801
11.713074;18;119;4294967257;1026;950;954;842;600;600;729;1802
12.213746;18;118;4294967253;1026;946;955;842;601;602;730;1800
12.713932;18;117;4294967257;1026;946;956;842;603;604;731;1800
13.213831;19;117;4294967254;1025;946;955;842;603;605;732;1803
13.712856;18;117;4294967259;1026;947;955;841;605;606;733;1802
14.2115;18;117;4294967253;1029;947;955;841;606;607;732;1800
14.713366;18;116;4294967256;1024;947;956;842;607;608;734;1800
15.211725;19;115;4294967255;1026;948;955;841;609;610;734;1801
15.713437;17;115;4294967257;1025;948;956;841;611;611;734;1800
16.212213;17;115;4294967254;1026;947;955;842;612;613;734;1803
16.713035;19;115;4703;1025;948;955;1601;609;611;724;1191
17.21244;19;114;4699;1026;947;957;1596;609;610;725;1183
17.713586;22;113;4700;1025;949;958;1591;611;613;725;1178
18.213165;25;112;4699;1026;949;957;1588;612;613;728;1176
18.712806;28;113;4701;1025;949;957;1584;613;614;726;1172
19.213518;31;112;4702;1026;949;957;1581;615;617;726;1172
19.713133;34;111;4701;1026;949;957;1578;615;617;727;1171
20.212452;37;111;4705;1027;949;957;1576;618;618;726;1168
20.712377;40;110;4701;1025;949;956;1574;619;619;729;1165
21.212306;42;109;4705;1026;948;956;1571;620;620;729;1164
21.713444;45;109;4699;1025;947;954;1569;621;621;730;1160
22.213203;47;109;4704;1025;947;955;1567;621;623;729;1157
22.713086;51;110;4699;1026;947;955;1565;622;624;731;1160
23.21392;54;108;4702;1026;947;955;1564;624;625;731;1152
23.713521;55;108;4700;1025;945;955;1562;623;627;731;1150
24.214097;59;107;4702;1026;945;953;1561;625;628;731;1147
24.713067;61;107;4701;1026;943;953;1559;626;629;731;1151
25.21389;64;106;4702;1026;943;952;1558;627;629;732;1150
25.713161;66;106;4700;1026;942;952;1556;627;632;732;1145
26.21366;69;106;4700;1026;940;951;1555;629;632;733;1147
26.711234;71;106;4700;1026;939;950;1552;630;632;734;1144
27.212938;72;105;4699;1026;938;949;1553;632;635;734;1142
27.713454;74;105;4702;1026;936;947;1551;632;636;733;1145
28.213225;78;104;4705;1027;935;946;1550;634;636;735;1139
28.713191;79;104;4701;1026;934;945;1549;634;637;735;1141
29.213452;82;103;4700;1025;931;944;1547;637;639;736;1139
29.714055;84;103;4699;1026;929;943;1547;638;640;736;1138
30.212962;85;104;4696;1027;928;942;1543;639;642;736;1138
30.712322;87;102;4695;1025;926;941;1544;639;644;737;1138
31.212488;89;102;4700;1026;923;940;1543;642;645;736;1135
31.713189;91;101;4695;1026;920;941;1543;642;646;737;1135
32.213555;93;101;4701;1026;920;936;1541;644;647;737;1136
32.712932;95;100;4699;1026;917;935;1540;644;648;739;1135
